REF_DATE,GEO,UOM,VALUE,Province,Fuel Type
2014-03,"St. John's, Newfoundland and Labrador",Cents per litre,142.0,Newfoundland and Labrador,Premium
2014-04,"St. John's, Newfoundland and Labrador",Cents per litre,142.3,Newfoundland and Labrador,Premium
2014-05,"St. John's, Newfoundland and Labrador",Cents per litre,144.8,Newfoundland and Labrador,Premium
2014-06,"St. John's, Newfoundland and Labrador",Cents per litre,144.2,Newfoundland and Labrador,Premium
2014-07,"St. John's, Newfoundland and Labrador",Cents per litre,142.0,Newfoundland and Labrador,Premium
2014-08,"St. John's, Newfoundland and Labrador",Cents per litre,138.5,Newfoundland and Labrador,Premium
2014-09,"St. John's, Newfoundland and Labrador",Cents per litre,139.6,Newfoundland and Labrador,Premium
2014-10,"St. John's, Newfoundland and Labrador",Cents per litre,135.6,Newfoundland and Labrador,Premium
2014-11,"St. John's, Newfoundland and Labrador",Cents per litre,124.7,Newfoundland and Labrador,Premium
2014-12,"St. John's, Newfoundland and Labrador",Cents per litre,113.0,Newfoundland and Labrador,Premium
2015-01,"St. John's, Newfoundland and Labrador",Cents per litre,102.4,Newfoundland and Labrador,Premium
2015-02,"St. John's, Newfoundland and Labrador",Cents per litre,112.0,Newfoundland and Labrador,Premium
2015-03,"St. John's, Newfoundland and Labrador",Cents per litre,119.1,Newfoundland and Labrador,Premium
2015-04,"St. John's, Newfoundland and Labrador",Cents per litre,116.0,Newfoundland and Labrador,Premium
2015-05,"St. John's, Newfoundland and Labrador",Cents per litre,123.7,Newfoundland and Labrador,Premium
2015-06,"St. John's, Newfoundland and Labrador",Cents per litre,129.6,Newfoundland and Labrador,Premium
2015-07,"St. John's, Newfoundland and Labrador",Cents per litre,128.0,Newfoundland and Labrador,Premium
2015-08,"St. John's, Newfoundland and Labrador",Cents per litre,120.4,Newfoundland and Labrador,Premium
2015-09,"St. John's, Newfoundland and Labrador",Cents per litre,113.1,Newfoundland and Labrador,Premium
2015-10,"St. John's, Newfoundland and Labrador",Cents per litre,109.5,Newfoundland and Labrador,Premium
2015-11,"St. John's, Newfoundland and Labrador",Cents per litre,109.3,Newfoundland and Labrador,Premium
2015-12,"St. John's, Newfoundland and Labrador",Cents per litre,105.1,Newfoundland and Labrador,Premium
2016-01,"St. John's, Newfoundland and Labrador",Cents per litre,99.9,Newfoundland and Labrador,Premium
2016-02,"St. John's, Newfoundland and Labrador",Cents per litre,96.4,Newfoundland and Labrador,Premium
2016-03,"St. John's, Newfoundland and Labrador",Cents per litre,95.6,Newfoundland and Labrador,Premium
2016-04,"St. John's, Newfoundland and Labrador",Cents per litre,107.6,Newfoundland and Labrador,Premium
2016-05,"St. John's, Newfoundland and Labrador",Cents per litre,110.8,Newfoundland and Labrador,Premium
2016-06,"St. John's, Newfoundland and Labrador",Cents per litre,132.4,Newfoundland and Labrador,Premium
2016-07,"St. John's, Newfoundland and Labrador",Cents per litre,128.6,Newfoundland and Labrador,Premium
2016-08,"St. John's, Newfoundland and Labrador",Cents per litre,129.1,Newfoundland and Labrador,Premium
