"Monthly average retail prices for gasoline and fuel oil, by geography 1"
"Frequency: Monthly"
"Table: 18-10-0001-01 (formerly CANSIM 326-0009)"
"Release date: 2023-07-18"
"Geography: Canada, Census subdivision, Census metropolitan area, Census metropolitan area part"
""
""

"Type of fuel","Diesel fuel at self service filling stations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023"
,"Cents per litre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canada","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"St. John's, Newfoundland and Labrador","139.3","147.9","143.7","134.4","129.2","130.8","135.2","135.5","139.8","140.4","140.2","144.1","147.0","152.8","153.8","141.8","139.6","138.9","137.3","136.8","135.0","136.1","134.5","125.0","116.0","119.9","131.4","115.3","118.2","117.6","114.9","108.8","107.6","116.7","116.3","109.4","100.9","98.4","100.5","96.3","99.1","109.7","109.8","109.6","110.7","123.1","119.0","122.9","126.5","125.7","122.9","120.5","112.4","113.2","110.9","115.7","119.5","124.2","130.5","133.4","136.5","134.7","134.4","133.1","139.4","139.2","139.2","137.6","141.5","148.1","142.7","132.7","133.4","136.4","138.5","136.8","138.3","129.3","130.3","128.1","130.2","135.2","135.1","137.1","136.5","123.9","109.6","95.6","87.9","98.5","104.5","103.7","99.8","107.6","114.9","122.1","126.7","132.8","139.3","134.7","138.3","141.8","148.5","147.3","150.3","164.4","165.6","159.1","169.6","182.8","210.4","234.7","255.2","231.2","210.2","202.6","202.4","236.4","272.8","237.9","214.9","208.0","193.4","177.8","159.9","160.6"
"Charlottetown and Summerside, Prince Edward Island","130.8","137.6","136.1","136.3","131.6","132.8","136.7","137.9","143.0","141.0","143.3","147.2","148.3","154.6","153.4","146.3","143.6","141.8","138.8","137.5","137.7","134.7","133.5","124.6","115.6","121.0","128.4","117.1","117.6","116.2","112.5","107.0","104.3","111.8","112.6","105.7","98.6","98.7","100.9","98.9","98.0","102.8","101.1","95.5","101.4","111.8","112.4","113.9","117.6","115.0","113.4","114.1","110.4","107.0","103.5","108.8","112.4","115.6","123.0","124.1","127.9","124.5","127.0","129.5","134.8","136.0","133.7","132.3","135.7","143.1","136.4","125.9","120.5","126.0","127.4","133.8","135.3","124.9","127.4","123.5","126.6","129.7","130.6","132.9","129.9","118.6","102.2","92.4","84.4","95.4","100.1","100.1","96.2","99.6","102.4","110.2","114.7","121.7","127.1","123.0","126.2","130.3","134.5","133.9","137.5","151.7","154.7","145.6","157.3","170.3","197.4","212.6","246.4","229.2","211.5","199.7","202.2","233.3","268.6","245.9","220.5","214.8","193.1","176.1","159.2","157.6"
"Halifax, Nova Scotia","134.0","141.9","134.6","127.7","123.8","127.4","131.3","132.3","135.8","131.7","133.6","138.8","142.1","147.7","145.1","141.0","134.2","132.9","132.1","132.0","130.1","127.1","126.8","118.5","104.8","112.8","120.8","104.7","109.0","107.8","103.9","97.5","97.7","99.3","103.2","98.1","90.5","87.4","88.4","86.7","90.3","96.7","92.3","88.3","93.7","102.3","101.4","105.8","109.8","107.7","104.3","103.9","98.0","95.0","93.1","98.8","103.9","106.8","113.9","117.1","121.7","117.7","116.7","117.9","124.3","122.9","122.5","121.4","126.4","131.4","124.8","113.6","117.1","120.9","123.0","122.9","123.2","111.4","114.5","111.9","115.2","118.2","118.8","121.2","119.3","107.1","91.7","77.2","71.5","82.8","89.7","88.7","84.3","87.6","90.1","97.9","104.9","112.2","117.8","113.2","117.3","121.2","124.5","123.4","126.7","140.6","141.5","132.3","147.7","161.5","189.7","205.5","226.6","213.6","191.9","183.9","184.9","224.9","248.2","220.0","191.8","192.6","169.1","155.4","138.3","139.2"
"Saint John, New Brunswick","136.9","145.1","139.3","131.6","126.2","127.3","131.4","132.4","138.5","135.3","137.0","141.9","143.4","150.7","149.3","138.9","137.0","135.7","135.1","133.8","133.4","132.0","130.4","123.8","112.0","117.2","122.4","111.3","114.5","114.4","112.0","105.8","105.9","109.6","111.4","108.0","99.3","96.4","96.0","91.8","96.1","101.8","101.1","97.1","103.3","112.2","110.2","111.7","118.3","116.1","112.3","110.1","105.4","103.6","100.2","106.7","112.7","114.5","120.7","124.6","128.1","126.3","124.6","124.3","129.6","129.8","130.1","129.0","133.3","138.2","133.5","124.3","125.1","127.7","129.4","134.4","135.3","126.1","127.4","125.1","127.8","131.2","132.5","134.9","133.8","121.8","108.9","89.7","82.4","92.6","98.7","97.9","95.1","97.4","99.0","106.5","111.0","116.8","123.0","123.0","127.0","130.6","133.8","132.7","136.1","148.6","150.8","144.4","155.3","168.4","190.5","212.9","241.0","224.1","209.2","194.0","200.0","232.3","267.5","243.9","211.1","209.3","186.3","171.3","154.9","155.3"
"Québec, Quebec","139.7","145.9","144.2","138.9","133.4","134.4","136.2","136.8","139.0","137.5","136.9","143.1","147.5","154.9","151.5","145.3","143.5","141.5","137.1","135.7","134.1","129.9","129.5","127.6","120.2","123.9","133.2","120.2","122.9","120.4","117.4","111.7","111.9","109.2","113.6","111.4","105.0","99.6","101.1","100.6","99.2","103.7","101.8","97.6","98.6","104.1","109.2","114.9","117.1","115.6","113.2","112.1","111.0","107.1","103.6","106.1","110.0","111.8","120.9","123.0","127.0","127.2","127.2","129.3","134.5","135.3","132.9","131.2","134.1","137.8","137.0","129.0","126.9","126.8","129.3","129.2","131.4","126.5","126.2","125.0","126.2","128.4","131.5","132.7","131.2","124.4","113.0","102.7","94.6","99.0","103.5","103.4","101.5","101.0","103.6","107.8","112.5","116.5","121.7","120.4","122.4","125.0","126.2","129.3","132.7","144.5","148.8","148.8","154.0","165.2","196.8","207.0","244.8","232.5","215.7","200.0","198.4","228.3","243.7","228.6","231.4","209.5","191.7","177.7","160.3","161.2"
"Montréal, Quebec","140.0","146.4","143.8","138.0","132.2","132.3","133.4","136.0","139.1","136.9","135.9","143.0","148.4","155.7","151.9","150.3","142.4","139.9","138.2","135.9","131.2","130.7","128.8","127.4","119.4","124.2","132.9","120.9","121.2","120.1","117.4","111.1","109.4","109.2","111.9","109.9","101.4","98.1","99.4","98.7","99.9","102.6","100.5","96.9","100.1","103.6","110.3","114.9","116.1","113.1","112.7","114.1","109.5","106.7","102.1","105.8","110.2","112.1","121.2","123.3","127.7","127.3","127.3","129.5","134.7","134.9","132.5","129.9","133.5","136.8","136.4","130.3","126.9","126.3","128.7","128.7","130.1","126.6","126.5","125.8","125.6","127.4","130.6","132.4","131.8","125.4","114.2","104.2","97.3","99.4","103.9","104.7","102.3","101.0","102.5","107.0","110.7","114.8","119.7","119.1","120.4","123.1","126.3","127.1","131.7","143.2","146.6","146.1","152.3","164.9","198.5","208.2","246.1","233.1","214.8","200.3","199.0","231.9","241.6","228.3","226.8","198.5","188.3","173.1","159.0","159.6"
"Ottawa-Gatineau, Ontario part, Ontario/Quebec 2","129.9","135.9","134.7","129.5","123.1","122.7","123.9","125.3","128.9","126.2","126.3","133.0","137.5","142.7","141.8","136.6","133.6","133.1","130.9","129.5","126.7","123.6","122.5","120.5","111.1","113.5","120.4","112.1","112.7","111.2","108.5","103.4","100.2","99.0","101.6","100.7","93.7","89.3","90.9","87.5","89.9","95.5","93.6","91.0","89.5","94.4","96.2","100.4","108.5","107.6","105.3","105.8","103.9","101.8","98.1","101.7","106.0","107.5","116.6","121.0","124.5","123.9","122.6","123.6","128.6","130.5","129.9","128.9","127.4","129.0","127.5","119.3","114.4","112.4","118.2","123.5","123.6","119.2","116.8","115.9","119.1","122.7","126.2","127.0","125.7","117.2","105.1","96.3","85.0","91.4","97.6","99.4","96.7","97.2","99.6","104.2","111.5","113.8","116.4","118.5","121.0","123.8","127.2","126.8","130.2","140.6","143.0","140.6","147.7","158.8","190.8","199.1","228.3","228.1","199.3","186.9","188.7","220.8","225.2","214.2","201.1","172.9","169.2","163.5","150.4","148.4"
"Toronto, Ontario","126.7","131.9","131.2","126.0","118.4","118.3","119.0","124.3","127.3","125.2","124.8","132.7","135.9","142.6","142.0","136.8","134.8","131.1","129.3","127.7","126.2","121.9","122.2","119.2","108.7","109.9","120.2","112.9","112.4","113.8","110.7","103.9","100.6","99.6","102.0","101.1","95.3","91.7","89.9","87.7","91.9","94.7","93.9","90.8","90.1","93.1","96.3","100.0","108.6","110.3","107.0","106.9","104.9","103.5","100.6","101.9","105.5","107.2","115.8","119.6","123.2","123.4","122.2","123.4","128.2","129.9","129.3","127.5","126.5","128.0","125.5","116.4","110.9","108.9","116.0","121.5","122.4","116.6","114.4","114.1","117.3","120.3","123.6","125.9","124.9","115.9","103.4","93.2","83.6","91.2","97.9","98.2","95.1","95.2","98.3","104.4","109.1","114.2","118.4","120.1","122.5","125.6","127.3","127.3","130.6","141.3","142.8","140.8","149.4","159.7","190.1","198.0","225.9","220.3","193.1","182.1","184.2","216.4","217.3","207.7","194.5","167.1","162.9","158.2","148.3","146.9"
