"Monthly average retail prices for gasoline and fuel oil, by geography 1"
"Frequency: Monthly"
"Table: 18-10-0001-01 (formerly CANSIM 326-0009)"
"Release date: 2023-07-18"
"Geography: Canada, Census subdivision, Census metropolitan area, Census metropolitan area part"
""
""

"Type of fuel","Premium unleaded gasoline at self service filling stations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023"
,"Cents per litre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canada","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"St. John's, Newfoundland and Labrador","132.8","140.4","138.9","133.3","130.4","133.5","136.8","139.0","140.2","131.4","132.4","135.9","137.6","140.7","142.0","142.3","144.8","144.2","142.0","138.5","139.6","135.6","124.7","113.0","102.4","112.0","119.1","116.0","123.7","129.6","128.0","120.4","113.1","109.5","109.3","105.1","99.9","96.4","95.6","107.6","110.8","132.4","128.6","129.1","134.1","136.0","134.0","136.1","142.9","136.7","132.7","139.3","136.3","121.2","118.9","122.8","132.2","126.4","133.4","124.8","127.1","128.3","128.4","137.3","143.5","140.7","141.1","138.9","137.8","137.8","125.0","115.7","113.0","118.8","128.7","137.3","136.9","126.0","134.3","129.2","127.3","127.1","128.0","128.1","129.6","126.1","107.5","87.2","97.3","108.7","113.0","112.5","112.4","116.0","117.9","122.7","130.6","136.6","147.4","147.0","149.4","150.8","159.2","157.7","159.6","165.9","164.9","157.4","165.0","176.7","193.5","195.7","221.3","225.6","206.2","190.2","172.6","185.9","187.0","163.6","171.4","171.8","171.0","180.0","171.4","174.2"
"Charlottetown and Summerside, Prince Edward Island","127.3","135.2","135.2","137.9","134.2","137.0","141.0","144.4","144.2","135.7","136.1","138.0","139.5","143.5","145.6","146.1","147.4","146.6","144.4","141.9","140.9","137.7","126.0","112.8","99.2","108.2","115.2","113.3","121.0","126.5","127.0","121.7","111.4","108.1","105.9","105.2","100.2","94.4","95.9","107.6","111.0","112.8","106.0","104.2","108.2","113.5","111.2","113.2","120.8","113.6","112.5","118.2","114.8","113.7","110.3","114.9","122.8","115.9","123.6","119.5","123.3","123.4","124.8","131.4","139.3","138.1","136.8","134.9","134.4","132.5","119.5","111.4","106.0","107.7","119.4","133.7","136.6","124.1","131.0","124.6","123.3","122.4","122.5","121.6","121.6","118.9","98.2","81.5","90.6","102.7","107.6","107.4","106.7","107.5","103.7","109.4","117.0","123.7","133.9","134.7","138.0","139.4","145.7","145.2","145.8","152.2","151.8","142.9","151.8","163.2","180.7","179.3","212.9","222.5","203.8","188.4","172.1","185.5","185.4","159.5","170.1","171.0","169.1","176.7","169.7","172.1"
"Halifax, Nova Scotia","135.6","145.7","143.7","137.5","134.6","137.2","141.2","143.9","143.6","135.1","135.0","139.4","141.0","144.7","147.1","144.6","147.8","146.9","145.5","141.1","142.2","138.8","126.5","114.4","100.4","108.4","117.0","117.1","124.1","128.1","126.5","119.2","110.4","106.9","107.0","105.5","101.7","94.7","95.7","108.9","111.1","113.9","105.6","103.9","110.1","113.3","110.8","113.9","119.6","112.4","111.0","119.6","114.6","112.1","111.8","115.4","124.5","115.6","124.8","120.7","124.0","123.0","122.9","133.0","139.2","134.3","135.0","132.8","132.3","131.5","116.8","108.7","107.8","112.1","125.5","136.4","134.6","119.8","128.8","123.1","121.6","122.0","122.9","121.4","121.5","116.6","94.7","76.8","87.3","98.8","105.1","103.7","103.3","103.1","100.0","105.6","116.6","124.5","134.1","134.2","136.8","138.4","144.6","143.3","144.4","151.6","150.2","140.0","150.7","163.2","180.4","178.5","205.1","217.4","196.4","179.5","162.8","176.5","179.6","153.2","160.5","160.6","159.2","172.4","160.6","162.3"
"Saint John, New Brunswick","130.1","138.9","139.0","134.0","130.7","132.6","135.7","138.1","139.0","131.2","130.0","133.3","135.1","138.5","142.1","140.5","142.8","140.2","140.9","135.5","136.8","135.0","123.2","113.0","98.7","103.8","111.5","113.7","120.7","124.9","124.4","117.8","110.7","105.5","105.4","104.4","99.9","94.2","93.5","104.8","108.1","111.0","106.4","104.6","109.9","112.2","111.6","113.0","119.0","113.8","111.5","118.1","115.0","113.0","110.3","114.4","122.5","115.1","122.8","119.7","121.6","121.3","121.2","130.2","136.6","133.5","134.6","134.3","134.7","134.0","121.1","113.1","109.9","111.4","121.8","137.2","137.8","126.4","131.5","127.5","125.6","125.8","126.5","126.0","125.3","120.7","102.5","79.7","88.3","98.6","104.3","103.4","103.5","103.4","100.7","105.6","113.0","119.2","130.0","132.6","135.3","136.8","142.5","142.1","143.5","149.7","149.4","142.3","147.2","158.7","175.1","179.9","200.0","218.1","199.5","184.2","165.7","176.2","181.4","156.7","164.7","166.1","164.1","176.7","166.5","168.8"
"Québec, Quebec","140.6","146.9","147.9","145.0","143.3","143.6","148.8","150.1","153.2","141.0","140.2","143.4","145.7","145.2","145.7","149.6","151.7","152.2","151.1","147.2","151.4","144.5","129.7","122.7","110.0","113.8","124.5","123.7","131.5","133.4","135.8","128.6","125.2","117.0","118.2","115.9","111.9","104.1","110.2","116.0","118.1","121.4","114.4","116.1","117.7","119.6","118.4","120.6","125.5","121.1","119.2","129.9","127.0","122.5","121.8","129.6","137.9","127.7","136.5","130.5","135.6","135.9","139.9","148.4","153.4","148.5","147.3","148.0","148.7","144.3","132.3","125.9","124.4","124.7","139.3","148.1","150.3","140.3","145.8","137.0","135.7","134.1","136.0","136.0","134.6","133.1","119.3","101.2","113.9","124.2","130.0","129.0","128.4","122.1","124.6","128.8","136.4","142.6","150.1","150.2","155.2","156.3","159.2","161.5","166.0","172.3","175.9","171.1","174.1","185.9","203.2","202.5","228.3","241.8","223.3","208.8","187.9","198.5","201.7","180.0","188.6","186.1","187.0","195.1","197.3","201.5"
"Montréal, Quebec","141.5","153.4","149.0","144.8","146.5","148.6","153.0","150.9","149.8","143.2","144.4","147.3","149.4","149.2","153.4","154.7","154.7","157.4","155.4","152.5","152.1","146.6","137.9","128.2","116.0","125.0","131.7","130.9","138.5","143.5","141.2","134.5","128.0","126.1","124.8","122.8","116.7","112.4","112.4","122.7","124.6","125.6","121.1","123.0","126.1","130.7","126.5","132.2","131.4","128.1","128.0","139.9","134.6","129.6","131.0","133.3","140.1","134.7","142.1","138.1","143.0","142.9","145.4","153.5","158.4","155.4","153.4","154.2","155.6","147.5","133.1","128.6","128.0","129.7","142.1","152.3","154.4","145.4","150.5","142.0","140.9","140.8","141.2","141.4","139.9","138.0","117.5","103.4","115.0","123.8","128.8","127.6","125.2","124.4","124.2","128.2","135.1","142.5","148.9","148.3","154.0","157.3","160.4","162.1","164.3","173.0","173.4","169.8","177.3","188.3","205.7","203.3","227.6","238.3","219.3","206.0","183.2","195.9","196.0","174.0","183.5","181.3","183.2","190.2","189.3","192.1"
"Ottawa-Gatineau, Ontario part, Ontario/Quebec 2","135.6","143.1","142.7","138.6","137.8","142.3","145.6","145.3","145.4","139.6","138.8","141.5","140.3","144.3","145.3","148.6","149.8","152.8","149.7","143.8","142.0","136.5","126.8","113.4","104.2","113.9","120.1","118.9","126.4","132.2","135.6","127.3","118.6","114.4","117.2","113.9","103.2","102.2","107.2","116.6","121.5","121.9","117.6","116.2","115.6","119.7","115.7","119.1","127.6","122.0","114.8","133.0","130.2","124.4","122.3","122.8","136.5","133.6","140.7","139.4","143.3","138.5","144.7","152.7","156.5","147.8","149.1","147.4","143.1","138.2","126.5","119.7","116.6","116.2","130.9","145.9","148.0","140.2","147.1","139.5","138.0","137.3","136.3","135.8","134.3","131.3","107.7","101.5","114.1","123.3","127.9","127.3","125.4","125.2","124.3","128.3","136.0","142.8","148.5","150.5","154.9","156.6","160.0","161.2","161.9","169.5","168.6","161.9","170.2","182.0","198.0","200.3","224.0","231.9","206.5","191.6","175.1","190.6","188.0","167.2","175.7","173.3","174.9","185.0","183.4","186.0"
"Toronto, Ontario","138.2","145.5","145.9","141.8","141.0","144.1","147.6","147.4","146.5","140.7","140.8","142.7","142.0","147.1","147.8","150.7","151.7","156.8","153.6","148.5","146.9","140.3","131.6","120.2","107.7","118.5","122.2","123.0","130.0","135.8","138.6","130.7","122.4","118.0","120.0","117.9","113.2","107.1","110.1","119.5","123.5","123.4","119.5","118.8","117.9","122.5","119.1","122.3","130.0","125.5","125.7","134.3","130.4","126.1","128.1","130.4","136.5","133.3","140.7","139.5","143.0","142.0","144.5","152.4","156.4","153.9","154.9","153.2","148.9","143.6","131.4","125.2","122.1","121.9","135.6","146.8","147.6","139.6","146.7","139.8","138.0","138.5","138.4","138.3","137.0","133.6","109.3","102.1","114.7","123.5","127.9","127.5","125.6","125.1","123.7","127.8","135.1","142.4","148.3","150.6","154.8","157.5","161.3","162.2","162.8","170.7","169.7","163.1","171.4","182.9","198.4","199.7","223.4","231.6","206.0","191.2","174.5","190.1","187.6","166.7","175.1","171.4","172.5","183.4","183.3","186.1"
